GeneMANIA Results
Plugin Version	3.3.4 (20140731-1725)
Data Version	2014-08-12
Report Generated	Sun Dec 07 12:49:35 EST 2014

Gene	Score	Description
	Roth-Zlotnik-2006	0.81	Gene expression analyses reveal molecular relationships among 20 regions of the human CNS.	Roth, Hevezi, Lee, Willhite, Lechner, Foster, Zlotnik	2006	Neurogenetics	16572319	http://www.ncbi.nlm.nih.gov/pubmed/16572319	Pearson correlation	666614	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE3526	
	Salaverria-Siebert-2011	0.81	Translocations activating IRF4 identify a subtype of germinal center-derived B-cell lymphoma affecting predominantly children and young adults.	Salaverria, Philipp, Oschlies, Kohler, Kreuz, Szczepanowski, Burkhardt, Trautmann, Gesk, Andrusiewicz, Berger, Fey, Harder, Hasenclever, Hummel, Loeffler, Mahn, Martin-Guerrero, Pellissery, Pott, Pfreundschuh, Reiter, Richter, Rosolowski, Schwaenen, Stein, Trümper, Wessendorf, Spang, Küppers, Klapper, Siebert	2011	Blood	21487109	http://www.ncbi.nlm.nih.gov/pubmed/21487109	Pearson correlation	514070	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE22470	Transcription Factors,Cancer
	Boldrick-Relman-2002	0.72	Stereotyped and specific gene expression programs in human innate immune responses to bacteria.	Boldrick, Alizadeh, Diehn, Dudoit, Liu, Belcher, Botstein, Staudt, Brown, Relman	2002	Proc Natl Acad Sci U S A	11805339	http://www.ncbi.nlm.nih.gov/pubmed/11805339	Pearson correlation	108543	SUPPLEMENTARY_MATERIAL		Immune System
	Mallon-McKay-2013	0.59	StemCellDB: the human pluripotent stem cell database at the National Institutes of Health.	Mallon, Chenoweth, Johnson, Hamilton, Tesar, Yavatkar, Tyson, Park, Chen, Fann, McKay	2013	Stem Cell Res	23117585	http://www.ncbi.nlm.nih.gov/pubmed/23117585	Pearson correlation	567140	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE32923	Cultured Cells,Stem Cells,Cell Line
	Ramaswamy-Golub-2001	0.38	Multiclass cancer diagnosis using tumor gene expression signatures.	Ramaswamy, Tamayo, Rifkin, Mukherjee, Yeang, Angelo, Ladd, Reich, Latulippe, Mesirov, Poggio, Gerald, Loda, Lander, Golub	2001	Proc Natl Acad Sci U S A	11742071	http://www.ncbi.nlm.nih.gov/pubmed/11742071	Pearson correlation	270142	SUPPLEMENTARY_MATERIAL		Cancer
	Bahr-Bowler-2013	0.31	Peripheral blood mononuclear cell gene expression in chronic obstructive pulmonary disease.	Bahr, Hughes, Armstrong, Reisdorph, Coldren, Edwards, Schnell, Kedl, LaFlamme, Reisdorph, Kechris, Bowler	2013	Am J Respir Cell Mol Biol	23590301	http://www.ncbi.nlm.nih.gov/pubmed/23590301	Pearson correlation	278447	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE42057	
	Smirnov-Cheung-2009	0.15	Genetic analysis of radiation-induced changes in human gene expression.	Smirnov, Morley, Shin, Spielman, Cheung	2009	Nature	19349959	http://www.ncbi.nlm.nih.gov/pubmed/19349959	Pearson correlation	463390	GEO	http://www.ncbi.nlm.nih.gov/projects/geo/query/acc.cgi?acc=GSE12626	Transcription Factors,Cultured Cells,Cell Line
Predicted		5.82
	I2D-MGI-Mouse2Human	3.41	Ontological visualization of protein-protein interactions.	Drabkin, Hollenbeck, Hill, Blake	2005	BMC Bioinformatics	15707487	http://www.ncbi.nlm.nih.gov/pubmed/15707487	Direct interaction	729	I2D	http://ophid.utoronto.ca/	
	I2D-MINT-Mouse2Human	1.72	MINT: a Molecular INTeraction database.	Zanzoni, Montecchi-Palazzi, Quondam, Ausiello, Helmer-Citterich, Cesareni	2002	FEBS Lett	11911893	http://www.ncbi.nlm.nih.gov/pubmed/11911893	Direct interaction	977	I2D	http://ophid.utoronto.ca/	
	I2D-IntAct-Mouse2Human	0.68	The IntAct molecular interaction database in 2010.	Aranda, Achuthan, Alam-Faruque, Armean, Bridge, Derow, Feuermann, Ghanbarian, Kerrien, Khadake, Kerssemakers, Leroy, Menden, Michaut, Montecchi-Palazzi, Neuhauser, Orchard, Perreau, Roechert, van Eijk, Hermjakob	2010	Nucleic Acids Res	19850723	http://www.ncbi.nlm.nih.gov/pubmed/19850723	Direct interaction	3430	I2D	http://ophid.utoronto.ca/	
Physical interactions		4.10
	IREF-PUBMED	1.41							Direct interaction	459	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-DIP	1.02							Direct interaction	3719	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-INNATEDB	0.71							Direct interaction	3870	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-BIND	0.57							Direct interaction	7078	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-MPPI	0.40							Direct interaction	384	IREF	http://irefindex.uio.no/wiki/iRefIndex	
Pathway		3.87
	Wu-Stein-2010	2.06	A human functional protein interaction network and its application to cancer data analysis.	Wu, Feng, Stein	2010	Genome Biol	20482850	http://www.ncbi.nlm.nih.gov/pubmed/20482850		78183	SUPPLEMENTARY_MATERIAL		Transcription Factors,Cancer
	PATHWAYCOMMONS-NCI_NATURE	1.42							Direct interaction	10109	PATHWAYCOMMONS	http://www.pathwaycommons.org/	
	PATHWAYCOMMONS-REACTOME	0.40							Direct interaction	24930	PATHWAYCOMMONS	http://www.pathwaycommons.org/	
Co-localization		1.45
	Johnson-Shoemaker-2003	0.85	Genome-wide survey of human alternative pre-mRNA splicing with exon junction microarrays.	Johnson, Castle, Garrett-Engele, Kan, Loerch, Armour, Santos, Schadt, Stoughton, Shoemaker	2003	Science	14684825	http://www.ncbi.nlm.nih.gov/pubmed/14684825	Pearson correlation	426640	GEO	http://www.ncbi.nlm.nih.gov/geo/	Cultured Cells,Cell Line
	Schadt-Shoemaker-2004	0.60	A comprehensive transcript index of the human genome generated using microarrays and computational approaches.	Schadt, Edwards, GuhaThakurta, Holder, Ying, Svetnik, Leonardson, Hart, Russell, Li, Cavet, Castle, McDonagh, Kan, Chen, Kasarskis, Margarint, Caceres, Johnson, Armour, Garrett-Engele, Tsinoremas, Shoemaker	2004	Genome Biol	15461792	http://www.ncbi.nlm.nih.gov/pubmed/15461792	Pearson correlation	60216	GEO	http://www.ncbi.nlm.nih.gov/geo/	
Genetic interactions		1.27
	BIOGRID-SMALL-SCALE-STUDIES	0.70							Direct interaction	408	BIOGRID	http://thebiogrid.org/	
	Lin-Smith-2010	0.57	A genome-wide map of human genetic interactions inferred from radiation hybrid genotypes.	Lin, Wang, Ahn, Park, Smith	2010	Genome Res	20508145	http://www.ncbi.nlm.nih.gov/pubmed/20508145		4836794	SUPPLEMENTARY_MATERIAL		

Gene 1	Gene 2	Weight	Type	Source
AndrogenReceptor	367	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	5728	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	672	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	8202	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	841	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	AKT1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	APPL1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	BAG1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	CASP3	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	CCND1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	CCND3	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	CCNE1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	CDC25A	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	CDC25B	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	CDC37	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	DAXX	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	EP300	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	FOXA1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	FOXO1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	GSK3B	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	JUN	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	KAT2B	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	MDM2	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	NCOA4	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	PIK3R1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	PLAGL1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	POU2F1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	RCHY1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	RELA	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	RNF14	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	RUNX2	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	SMAD4	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	SPDEF	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	SRY	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	SVIL	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	TGFB1I1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	TMF1	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	UBE2I	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	XRCC5	0.0	Consolidated-Pathways-2013	
AndrogenReceptor	XRCC6	0.0	Consolidated-Pathways-2013	
Apoptosis	472	0.0	Consolidated-Pathways-2013	
Apoptosis	5290	0.0	Consolidated-Pathways-2013	
Apoptosis	7157	0.0	Consolidated-Pathways-2013	
Apoptosis	841	0.0	Consolidated-Pathways-2013	
Apoptosis	AKT1	0.0	Consolidated-Pathways-2013	
Apoptosis	APAF1	0.0	Consolidated-Pathways-2013	
Apoptosis	BAX	0.0	Consolidated-Pathways-2013	
Apoptosis	BCL2	0.0	Consolidated-Pathways-2013	
Apoptosis	BCL2L1	0.0	Consolidated-Pathways-2013	
Apoptosis	BID	0.0	Consolidated-Pathways-2013	
Apoptosis	CASP3	0.0	Consolidated-Pathways-2013	
Apoptosis	CASP9	0.0	Consolidated-Pathways-2013	
Apoptosis	CSF2RB	0.0	Consolidated-Pathways-2013	
Apoptosis	CYCS	0.0	Consolidated-Pathways-2013	
Apoptosis	FADD	0.0	Consolidated-Pathways-2013	
Apoptosis	FAS	0.0	Consolidated-Pathways-2013	
Apoptosis	NFKB1	0.0	Consolidated-Pathways-2013	
Apoptosis	NFKBIA	0.0	Consolidated-Pathways-2013	
Apoptosis	PIK3CG	0.0	Consolidated-Pathways-2013	
Apoptosis	PIK3R1	0.0	Consolidated-Pathways-2013	
Apoptosis	PIK3R3	0.0	Consolidated-Pathways-2013	
Apoptosis	RELA	0.0	Consolidated-Pathways-2013	
Apoptosis	TNFRSF10B	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	472	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	580	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	5888	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	672	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	7157	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	ATR	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	CCNE1	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	CDK2	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	CSTF1	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	EWSR1	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	FANCA	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	FANCC	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	FANCD2	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	FANCE	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	FANCF	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	FANCG	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	FANCL	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	MRE11A	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	NBN	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	PCNA	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	PRKDC	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	RAD50	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	RBBP8	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	TOPBP1	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	UBE2D3	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	UBE2D4	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	UBE2L3	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	XRCC5	0.0	Consolidated-Pathways-2013	
BARD1 signaling events	XRCC6	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	11200	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	472	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	5888	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	672	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	7157	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	ABL1	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	CDKN1A	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	CHEK1	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	GADD45A	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	JUN	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	MAPK8	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	MDM2	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	MRE11A	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	NBN	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	NFKB1	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	NFKBIA	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	RAD50	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	RBBP8	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	RELA	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATM_PATHWAY	TP73	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	11200	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	472	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	5888	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	672	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	675	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	7157	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	ATR	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	CHEK1	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	FANCC	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	FANCD2	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	FANCE	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	FANCF	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	FANCG	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	HUS1	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	MRE11A	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	NBN	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	RAD1	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	RAD17	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	RAD50	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	RAD9A	0.0	Consolidated-Pathways-2013	
BIOCARTA_ATRBRCA_PATHWAY	TREX1	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	5290	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	5728	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	7157	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	CD79A	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	CD79B	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	CDKN1B	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	CDKN2A	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	MDM2	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	MTOR	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	MYC	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	PIK3CG	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	PIK3R1	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	PPP2CA	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	RPS6KB1	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	SMAD1	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	SMAD4	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	SMAD5	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	TGFB1	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	TGFB2	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	TGFB3	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	TGFBR1	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	TGFBR2	0.0	Consolidated-Pathways-2013	
BIOCARTA_CTCF_PATHWAY	TGFBR3	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	11200	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	472	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	672	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	7157	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	ATR	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CCNB1	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CDC25A	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CDC25B	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CDC25C	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CDC34	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CDK1	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CDKN1A	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CDKN2D	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	CHEK1	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	EP300	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	GADD45A	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	MDM2	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	MYT1	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	PLK1	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	PRKDC	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	RPS6KA1	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	WEE1	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	YWHAH	0.0	Consolidated-Pathways-2013	
BIOCARTA_G2_PATHWAY	YWHAQ	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	472	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	5888	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	672	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	675	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	BRIP1	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	H2AFX	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	LIG1	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	LIG4	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	MDC1	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	MRE11A	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	NBN	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	PRKDC	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	RAD50	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	RAD52	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	RPA1	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	RPA2	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	RPA3	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	TDP1	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	TP53BP1	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	XRCC4	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	XRCC5	0.0	Consolidated-Pathways-2013	
Double-Strand Break Repair	XRCC6	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	472	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	672	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	675	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	ATR	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	FANCA	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	FANCC	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	FANCD2	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	FANCE	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	FANCF	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	FANCG	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	FANCI	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	FANCL	0.0	Consolidated-Pathways-2013	
Fanconi Anemia pathway	PALB2	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	472	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	5888	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	672	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	675	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	BRIP1	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	H2AFX	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	LIG1	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	MDC1	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	MRE11A	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	NBN	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	RAD50	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	RAD52	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	RPA1	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	RPA2	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	RPA3	0.0	Consolidated-Pathways-2013	
Homologous Recombination Repair	TP53BP1	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	472	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	5888	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	672	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	675	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	BRIP1	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	H2AFX	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	LIG1	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	MDC1	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	MRE11A	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	NBN	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	RAD50	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	RAD52	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	RPA1	0.0	Consolidated-Pathways-2013	
Homologous recombination repair of ...	RPA2	0.0	Consolidated-Pathways-2013	
